Branch_ID,BranchDesc,Division,Region,BranchSize,Last Svc Wip Total,Eval Count,Remote Eval %,Eval @ Home %,Eval @ Branch %,Repair @ Branch,Repair @ Home %,#Techs,Ttl Tech Activities,% Overtime,Repair Dlvrys,DOO,Rev Tech Hr,T 13 Svc Rev / Tech Hour,Avg Svc  Rev /Order,CB Complete Count,Dlvry Count,CBC Timeliness,BE Cmpl %,Total Tech Dlvrys per Tech Hr,Service Rev,Total Rev,Total Mnthly Budget,MTD Budget Goal,% to Goal MTD Svc Rev,T3 PG Overall,Svc TCT (P50),Direct Auto Costs/Ttl Rev,Ttl Dlvrys,Total Tech Hours,TechHours,Total Tech NewEquip Dlvrys as % of Ttl Tech Made Dlvrys,Total Tech Evals & Dlvrys
123,Franklin MA,Northeast,New England,Cat 5,"$276,460",70,48.6%,41.4%,7.1%,16.7%,77.8%,5,592,6.6%,54,110.9,$44.70,$135.6,$329,73,54,93.8%,17.8%,0.227,"$17,759","$213,257.17",,,,,84,,90,397,397.27,44.44%,159
145,Columbia,Southeast,ACC,Other,"$77,197",22,31.8%,50.0%,13.6%,11.1%,77.8%,1,205,0.8%,18,58.8,$197.12,$157.0,$866,24,18,90.9%,20.0%,0.316,"$15,591","$178,051.35",,,,,65,,25,79,79.09,40.00%,47
155,Lansing,Central,Big 10,Cat 3,"$88,263",21,28.6%,52.4%,9.5%,11.1%,77.8%,1,178,0.3%,18,90.0,$83.82,$133.8,$335,15,18,100.0%,35.8%,0.264,"$6,035","$52,031.72",,,,,48,,19,72,72,26.32%,33
77,Salt Lake City,Western,Southwest,Other,"$137,660",30,13.3%,80.0%,6.7%,23.1%,76.9%,3,208,2.1%,13,113.8,$41.15,$60.6,$759,34,13,92.0%,17.9%,0.071,"$9,871","$167,263.75",,,,,46,,17,240,239.9,23.53%,48
24,Madison,Central,North Central,Cat 3,"$130,589",60,51.7%,35.0%,11.7%,14.0%,76.7%,6,449,5.7%,43,76.7,$26.17,$70.0,$274,62,43,87.3%,27.0%,0.107,"$11,789","$136,451.07",,,,,55,,48,451,450.5,37.50%,117
124,Newington,Northeast,New England,Cat 5,"$502,953",126,32.5%,43.7%,6.3%,3.4%,76.3%,11,1075,2.8%,59,120.9,$47.32,$61.4,$591,133,59,92.4%,8.2%,0.115,"$34,885","$146,382.75",,,,,66,,85,704,737.19,32.94%,199
65,Chicopee,Northeast,New England,Cat 5,"$272,692",138,31.9%,54.3%,5.1%,7.9%,75.3%,8,1059,2.3%,89,40.1,$86.88,$132.6,$546,136,89,93.1%,18.4%,0.299,"$48,591","$403,149.10",,,,,39,,167,559,559.28,46.71%,295
38,Sacramento,Western,Northern California,Cat 3,"$272,184",99,27.3%,58.6%,11.1%,18.1%,75.0%,6,859,1.8%,72,57.3,$70.83,$228.1,$432,91,72,91.1%,22.2%,0.291,"$31,136","$292,484.20",,,,,55,,128,519,439.6,49.22%,234
178,Santa Barbara,Western,Southern Pacific,Other,"$106,608",16,12.5%,56.3%,18.8%,6.3%,75.0%,2,212,5.1%,16,127.3,$39.20,$59.9,$413,28,16,80.0%,30.3%,0.107,"$6,606","$85,415.73",,,,,64,,18,169,168.51,55.56%,37
188,Martinez,Western,Northern California,Other,"$133,595",28,82.1%,14.3%,0.0%,12.5%,75.0%,3,269,12.6%,8,140.2,$41.56,$156.7,$973,35,8,33.3%,4.3%,0.059,"$7,786","$62,923.46",,,,,134,,11,187,187.34,36.36%,34
223,Austin North,Southeast,South Central Texas,Other,"$81,560",8,25.0%,25.0%,50.0%,25.0%,75.0%,3,117,6.0%,4,154.6,$13.09,$23.3,$650,6,4,87.5%,2.2%,,"$2,599","$36,317.07",,,,,55,,,291,198.59,,16
229,Lubbock 2,Southeast,South Central Texas,Other,,2,0.0%,50.0%,50.0%,25.0%,75.0%,,54,,4,107.3,,,$393,3,4,100.0%,0.0%,,"$1,570","$19,410.13",,,,,82,,10,,,70.00%,11
237,Post Falls,Western,Pacific Northwest,Other,"$54,807",8,50.0%,25.0%,25.0%,25.0%,75.0%,2,53,0.0%,4,102.6,$36.27,,"$1,026",9,4,100.0%,10.5%,0.044,"$4,105","$26,150.13",,,,,80,,5,113,113.17,20.00%,13
99,Richmond,Northeast,Mid-Atlantic,Cat 5,"$200,459",71,21.1%,50.7%,22.5%,21.7%,73.9%,9,739,4.8%,46,90.3,$35.21,$36.3,$476,69,46,89.2%,31.5%,0.135,"$21,885","$332,427.93",,,,,58,,84,622,621.59,50.00%,150
52,Champaign,Central,Mid-Central,Other,"$86,528",24,29.2%,66.7%,0.0%,15.8%,73.7%,3,233,3.1%,19,105.8,$37.28,$44.6,$434,30,19,71.4%,9.4%,0.045,"$8,237","$124,207.15",,,,,65,,10,221,220.93,10.00%,42
61,Ft. Wayne,Central,Mid-Central,Other,"$61,987",14,50.0%,42.9%,0.0%,28.6%,71.4%,1,141,5.1%,14,85.1,$51.39,$74.5,$299,20,14,92.9%,23.9%,0.110,"$4,188","$31,586.38",,,,,82,,9,81,81.49,11.11%,16
103,Roanoke,Northeast,Mid-Atlantic,Other,"$74,746",25,20.0%,48.0%,28.0%,19.0%,71.4%,3,216,0.7%,21,63.5,$34.87,$45.9,$359,22,21,70.8%,9.7%,0.143,"$7,543","$138,295.75",,,,,71,,31,216,216.31,32.26%,56
118,Whippany,Northeast,Big East,Other,"$205,160",60,36.7%,23.3%,23.3%,19.0%,71.4%,3,384,1.7%,21,68.3,$43.87,$121.3,$460,55,21,86.3%,10.4%,0.132,"$9,665","$65,726.00",,,,,69,,29,374,220.33,27.59%,96
126,Iowa City,Central,North Central,Other,"$46,009",28,17.9%,60.7%,0.0%,14.3%,71.4%,2,127,1.5%,7,88.6,$25.63,$65.2,$541,18,7,96.4%,,0.068,"$3,790","$53,813.11",,,,,68,,10,148,147.87,30.00%,34
75,Orlando,Southeast,SEC,Other,"$121,115",43,62.8%,16.3%,7.0%,29.2%,70.8%,4,371,9.6%,24,79.9,$59.28,$61.0,$618,44,24,100.0%,8.8%,0.124,"$14,827","$100,646.09",,,,,78,,31,250,250.11,25.81%,100
16,Chicago,Central,Mid-Central,Cat 5,"$550,138",120,35.8%,32.5%,17.5%,17.9%,70.2%,9,1080,4.7%,84,73.1,$79.31,$87.1,$612,154,84,83.5%,11.8%,0.167,"$51,406","$303,460.27",,,,,80,,108,733,648.17,26.85%,192
20,Evansville,Central,Mid-Central,Cat 3,"$94,266",19,31.6%,31.6%,26.3%,10.0%,70.0%,2,105,3.6%,10,94.3,$12.03,$106.8,$199,17,10,94.7%,27.3%,0.060,"$1,991","$36,210.37",,,,,69,,10,166,165.58,30.00%,22
113,Pittsburgh,Central,Big 10,Other,"$40,067",22,72.7%,18.2%,0.0%,0.0%,70.0%,,84,,10,42.8,,,$397,19,10,95.0%,28.4%,,"$3,969","$20,856.76",,,,,49,,6,,,0.00%,23
142,Raleigh,Southeast,ACC,Other,"$57,156",6,33.3%,50.0%,0.0%,10.0%,70.0%,2,126,3.7%,10,94.5,$41.71,$91.7,$431,8,10,83.3%,22.6%,0.068,"$4,312","$129,995.80",,,,,124,,7,103,103.39,71.43%,8
116,Cleveland,Central,Big 10,Other,"$51,630",24,25.0%,54.2%,0.0%,7.7%,69.2%,3,237,4.3%,13,100.7,$31.23,$44.1,$376,19,13,86.4%,8.3%,0.153,"$4,887","$70,079.13",,,,,65,,24,124,156.5,45.83%,46
23,Milwaukee,Central,North Central,Cat 3,"$357,837",73,27.4%,43.8%,23.3%,25.6%,67.4%,6,496,4.0%,43,172.2,$38.34,$58.1,$317,63,43,94.1%,7.1%,0.129,"$13,635","$73,695.91",,,,,109,,46,356,355.67,28.26%,122
71,Phoenix,Western,Southwest,Other,"$70,223",14,57.1%,28.6%,14.3%,33.3%,66.7%,1,88,4.7%,3,81.7,$9.49,,$244,16,3,85.7%,7.7%,0.052,$731,"$30,976.39",,,,,39,,4,77,77.07,25.00%,17
96,Billings,Western,Pacific Northwest,Other,"$35,484",12,41.7%,16.7%,41.7%,33.3%,66.7%,3,136,2.2%,6,64.3,$12.02,$30.7,$439,14,6,83.3%,18.2%,0.046,"$2,632","$16,176.75",,,,,32,,10,219,219.04,40.00%,22
160,Midland,Southeast,South Central Texas,Other,"$33,719",8,37.5%,37.5%,25.0%,21.4%,64.3%,1,94,2.5%,14,78.9,$71.62,$97.6,$417,15,14,100.0%,32.1%,0.270,"$5,839","$58,608.56",,,,,64,,22,82,81.53,40.91%,29
47,Natick,Northeast,New England,Cat 5,"$410,277",106,43.4%,27.4%,6.6%,4.4%,61.8%,7,678,4.0%,68,83.3,$68.42,$100.5,$420,111,68,94.7%,12.8%,0.247,"$28,556","$224,821.67",,,,,68,,103,417,417.37,33.98%,202
19,San Jose,Western,Northern California,Cat 5,"$188,679",40,52.5%,12.5%,30.0%,40.4%,59.6%,5,273,3.7%,47,80.9,$75.14,$66.6,$452,45,47,91.7%,4.9%,0.173,"$21,265","$92,630.98",,,,,78,,49,201,283.02,18.37%,44
163,Portland,Northeast,New England,Other,"$35,683",9,11.1%,55.6%,11.1%,42.9%,57.1%,1,77,8.2%,7,83.2,$26.33,$67.8,$258,9,7,75.0%,24.4%,0.088,"$1,803","$18,279.77",,,,,70,,6,68,68.47,16.67%,12
244,Seattle,Western,Pacific Northwest,Other,"$45,201",18,5.6%,44.4%,16.7%,0.0%,57.1%,2,134,0.0%,14,77.7,$34.16,$74.9,$359,18,14,100.0%,12.5%,0.122,"$5,032","$15,923.06",,,,,57,,18,147,147.3,22.22%,35
111,Providence,Northeast,New England,Cat 3,"$142,076",29,62.1%,13.8%,20.7%,47.8%,52.2%,2,290,17.1%,23,108.0,$55.69,$178.8,$393,31,23,92.6%,22.8%,0.308,"$9,036","$133,908.92",,,,,65,,50,162,162.25,60.00%,72
53,Peoria,Central,Mid-Central,Other,"$57,595",26,19.2%,23.1%,19.2%,25.9%,51.9%,2,230,1.4%,27,52.5,$79.19,$106.2,$421,27,27,100.0%,25.0%,0.223,"$11,377","$45,188.09",,,,,45,,32,144,143.67,18.75%,55
109,New Jersey,Northeast,Big East,Cat 5,"$152,995",27,63.0%,11.1%,18.5%,10.8%,51.4%,3,404,4.6%,37,65.6,$118.49,$271.4,$777,34,37,96.0%,34.6%,0.186,"$28,742","$197,400.85",,,,,63,,45,243,242.57,28.89%,61
39,Santa Rosa,Western,Northern California,Cat 3,"$124,443",39,38.5%,33.3%,20.5%,33.3%,50.0%,2,215,9.0%,12,106.5,$48.40,$86.9,$651,47,12,88.9%,7.4%,0.087,"$7,817","$43,265.31",,,,,63,,14,162,161.51,28.57%,47
92,Appleton,Central,North Central,Other,"$29,472",19,57.9%,26.3%,15.8%,25.0%,50.0%,1,98,10.9%,8,62.3,$25.20,$49.3,$283,19,8,100.0%,5.3%,0.123,"$2,262","$33,502.75",,,,,61,,11,90,89.75,27.27%,32
207,Lubbock,Southeast,South Central Texas,Other,"$51,387",7,57.1%,42.9%,0.0%,50.0%,50.0%,2,97,3.9%,2,68.0,$4.67,$27.1,$336,10,2,100.0%,0.0%,0.076,$673,"$66,072.48",,,,,40,,11,144,144.15,81.82%,15
232,San Antonio 2,Southeast,South Central Texas,Other,,3,0.0%,0.0%,100.0%,50.0%,50.0%,,51,,2,53.2,,,$68,5,2,66.7%,0.0%,,$136,"$28,277.06",,,,,44,,2,,,0.00%,5
4,Houston,Southeast,Gulf Coast,Cat 5,"$296,054",52,38.5%,23.1%,26.9%,45.8%,49.2%,9,1050,2.9%,59,116.2,$49.64,$52.5,$566,54,59,100.0%,23.1%,0.210,"$33,370","$329,853.07",,,,,87,,141,635,672.25,59.57%,182
76,Austin,Southeast,South Central Texas,Cat 5,"$199,390",24,58.3%,25.0%,8.3%,42.9%,42.9%,3,355,7.2%,14,155.7,$19.75,$35.6,$279,23,14,100.0%,4.9%,0.066,"$3,903","$127,673.75",,,,,92,,13,198,197.68,23.08%,39
108,Charleston,Southeast,ACC,Other,"$47,925",9,88.9%,11.1%,0.0%,57.1%,42.9%,1,115,0.0%,7,125.6,$32.01,$59.3,$248,11,7,100.0%,9.5%,0.037,"$1,738","$116,342.66",,,,,65,,2,54,54.31,50.00%,8
117,Hudson,Northeast,New England,Other,"$53,182",25,32.0%,36.0%,20.0%,29.4%,41.2%,1,129,8.2%,17,84.5,$44.82,,$238,27,17,87.5%,3.4%,0.188,"$4,047","$7,707.29",,,,,99,,17,90,90.29,5.88%,48
106,Albany,Northeast,Big East,Other,"$142,820",41,43.9%,36.6%,7.3%,20.0%,40.0%,3,261,8.7%,20,103.0,$61.76,$104.5,$628,43,20,92.1%,7.0%,0.133,"$12,565","$71,174.38",,,,,59,,27,203,203.44,40.74%,54
110,Jackson,Southeast,SEC,Cat 3,"$50,999",17,35.3%,11.8%,41.2%,60.0%,40.0%,3,305,7.0%,15,81.7,$39.49,$23.3,$451,14,15,88.2%,22.0%,0.228,"$6,769","$175,304.90",,,,,66,,39,171,171.42,64.10%,40
181,The Bronx,Northeast,Big East,Cat 5,"$221,700",41,12.2%,14.6%,65.9%,57.6%,39.4%,4,364,1.5%,33,187.7,$76.65,$51.7,$647,43,33,94.6%,4.6%,0.133,"$21,336","$63,546.53",,,,,94,,37,278,278.35,10.81%,76
167,Temperance,Central,Big 10,Cat 3,"$44,965",26,23.1%,42.3%,3.8%,0.0%,37.5%,2,166,4.9%,8,43.8,$35.33,$53.0,$682,27,8,95.7%,16.7%,0.065,"$5,456","$95,087.77",,,,,37,,10,154,154.42,50.00%,27
87,Columbus,Central,Big 10,Cat 5,"$244,777",86,24.4%,11.6%,54.7%,63.9%,34.7%,10,871,3.3%,72,97.6,$35.40,$37.4,$350,89,72,87.0%,11.7%,0.138,"$25,227","$317,323.13",,,,,66,,98,713,712.63,31.63%,193
115,Youngstown,Central,Big 10,Other,"$23,991",22,36.4%,36.4%,27.3%,50.0%,33.3%,1,69,0.0%,6,71.2,$36.94,,$382,23,6,100.0%,28.6%,0.097,"$2,289","$20,020.96",,,,,47,,6,62,61.98,33.33%,24
33,Troy,Central,Big 10,Cat 5,"$128,563",23,30.4%,17.4%,47.8%,61.5%,30.8%,3,283,0.4%,13,80.7,$30.84,$227.4,$434,20,13,100.0%,16.0%,0.104,"$5,642","$160,589.46",,,,,65,,19,183,182.97,36.84%,42
58,Wichita,Western,Southwest,Other,"$72,508",8,25.0%,12.5%,62.5%,12.5%,25.0%,1,153,1.5%,8,110.0,$38.51,,$355,15,8,100.0%,18.2%,0.027,"$2,840","$100,809.57",,,,,75,,2,74,73.74,0.00%,5
85,Ogden,Western,Southwest,Other,"$36,377",8,12.5%,75.0%,0.0%,0.0%,25.0%,1,60,6.7%,4,195.0,$10.63,$29.6,$224,10,4,100.0%,20.8%,0.071,$894,"$43,060.40",,,,,121,,6,84,84.14,33.33%,15
101,Fishersville,Northeast,Mid-Atlantic,Other,"$36,170",7,42.9%,14.3%,42.9%,75.0%,25.0%,1,69,0.3%,4,98.5,$26.18,$69.4,$378,8,4,42.9%,10.0%,0.069,"$1,511","$86,889.56",,,,,108,,4,58,57.71,0.00%,12
162,Bangor,Northeast,New England,Other,"$30,639",6,16.7%,0.0%,83.3%,77.8%,22.2%,,31,,9,183.1,,,$306,6,9,100.0%,8.1%,,"$2,751","$55,516.71",,,,,93,,,,,,
28,Toledo,Central,Big 10,Other,"$36,026",15,46.7%,0.0%,53.3%,71.4%,21.4%,2,186,3.4%,14,88.5,$40.04,$23.7,$446,15,14,100.0%,15.2%,0.154,"$6,238","$88,312.33",,,,,42,,24,156,155.78,41.67%,38
3,Miami,Southeast,SEC,Other,"$60,546",14,85.7%,14.3%,0.0%,84.6%,15.4%,2,168,13.7%,13,81.0,$40.63,$79.4,$444,14,13,100.0%,6.3%,0.113,"$5,771","$51,084.11",,,,,58,,16,142,142.02,18.75%,32
2,Birmingham,Southeast,SEC,Other,"$26,110",7,28.6%,0.0%,57.1%,62.5%,12.5%,1,140,0.0%,8,59.1,$135.31,,$341,7,8,100.0%,0.0%,0.695,"$2,727","$31,787.77",,,,,69,,14,20,20.15,57.14%,
26,Bakersfield,Western,Southern Pacific,Other,"$103,569",24,50.0%,8.3%,41.7%,85.7%,9.5%,2,188,1.1%,21,66.7,$79.90,$115.3,$495,30,21,87.5%,28.9%,0.185,"$10,386","$82,510.31",,,,,76,,24,130,129.98,20.83%,46
30,Montgomery,Southeast,SEC,Other,"$24,600",5,60.0%,20.0%,0.0%,0.0%,0.0%,1,32,3.6%,1,81.3,$2.60,$53.5,$208,5,1,100.0%,30.0%,0.013,$208,"$77,389.39",,,,,376,,1,80,80,100.00%,4
60,Honolulu,Western,Southern Pacific,Other,"$42,930",10,20.0%,20.0%,60.0%,100.0%,0.0%,1,59,2.5%,3,87.1,$20.51,,$529,7,3,90.0%,28.6%,0.103,"$1,588","$28,336.21",,,,,68,,8,77,77.46,62.50%,18
203,Cincinnati,Central,Big 10,Other,"$16,011",1,0.0%,100.0%,0.0%,0.0%,0.0%,1,48,14.3%,1,49.1,$2.76,$29.6,$260,2,1,100.0%,0.0%,0.042,$260,"$21,027.46",,,,,10,,4,94,94.23,75.00%,6
258,Columbus West,Central,Big 10,Other,"$88,482",1,0.0%,100.0%,0.0%,0.0%,0.0%,1,408,15.8%,1,26.5,$3.61,,$26,37,1,100.0%,12.8%,0.139,$26,$25.98,,,,,154,,1,7,7.2,0.00%,13
49,Little Rock,Central,North Central,Other,"$1,221",,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
125,Pomfret,Northeast,New England,Other,,,,,,,,,189,4.9%,,,,,,,,,,,,"$89,599.48",,,,,,,63,475,,100.00%,73
139,Indianapolis Access,Central,Mid-Central,Other,,,,,,,,,45,0.0%,,,,,,,,,,,,"$16,390.00",,,,,,,13,71,,100.00%,21
173,Tampa Access,Southeast,SEC,Other,,,,,,,,,9,,,,,,,,,,,,,"$36,828.30",,,,,,,,,,,
189,Toledo Access,Central,Big 10,Other,,,,,,,,,22,0.0%,,,,,,,,,,,,"$22,100.50",,,,,,,,98,,,
194,Newark,Northeast,Big East,Other,,,,,,,,,,,,,,,,,,,,,,"$1,192.40",,,,,,,,,,,
195,Boston,Northeast,New England,Other,,,,,,,,,,,,,,,,,,,,,,$125.00,,,,,,,,,,,
211,Hohenwald,Southeast,ACC,Other,$408,1,0.0%,100.0%,0.0%,,,,3,,,,,,,1,,100.0%,,,,,,,,,,,,,,,1
214,El Paso,Southeast,South Central Texas,Other,,1,0.0%,100.0%,0.0%,,,,1,,,,,,,1,,100.0%,0.0%,,,,,,,,,,,,,,
215,San Angelo,Southeast,South Central Texas,Other,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
217,Corpus Christi,Southeast,South Central Texas,Other,,,,,,,,,6,,,,,,,,,,,,,"$3,635.00",,,,,,,1,,,100.00%,2
222,Cleburne,Southeast,Gulf Coast,Other,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
233,Farmer Branch,Southeast,Gulf Coast,Other,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
234,Austin 2,Southeast,South Central Texas,Other,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
243,Greensboro,Southeast,ACC,Other,"$8,098",4,0.0%,100.0%,0.0%,,,,37,,,,,,,4,,75.0%,0.0%,,,$200.00,,,,,,,,,,,1
252,Akron,Central,Big 10,Other,,,,,,,,,37,,,,,,,,,,,,,"$92,115.00",,,,,,,,,,,
255,New Hampshire Access,Northeast,New England,Other,,,,,,,,,163,7.2%,,,,,,,,,,,,"$73,091.60",,,,,,,33,707,,100.00%,74
262,San Angelo,Southeast,South Central Texas,Other,,,,,,,,1,,15.6%,,,,,,,,,,,,,,,,,,,,96,95.65,,
267,Missoula,Western,Pacific Northwest,Other,$214,,,,,,,,11,,,,,,,,,,,,,"$25,992.28",,,,,,,,,,,1
268,Bend,Western,Pacific Northwest,Other,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,"$16,841,787",4213,33.4%,45.6%,13.2%,15.9%,75.2%,429,40045,5.1%,2837,86.5,$44.96,$68.3,$475,4466,2837,90.5%,12.8%,0.148,"$1,346,607","$14,243,382.95",,,,,64,,4432,"33,005",29949.69,43.57%,8278
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applied filters:Branch_ID is not (Blank)Month is July 2022Year is 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
